pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-10-04,87.6,-3.09,5.72,"Canha, Mark",592192,668678,field_out,hit_into_play,,,,,9.0,Mark Canha lines out to center fielder Alek Thomas.,F,R,R,MIL,AZ,X,8.0,line_drive,0,2,2023,0.47,0.37,0.34,1.45,,,467793.0,0,6,Bot,119.85,88.0,,,645444,,,7.3122566965832,-127.5192698342529,-5.01415854505998,3.879890934680239,23.27762856963142,-27.36325637933945,3.16,1.47,277.0,86.3,18.0,88.1,2412.0,6.3,748578,668678,645444,572233,606466,446334,672695,666971,677950,682998,54.15,0.866,0.815,0.0,1.0,0.0,0.0,4.0,47,3,Slider,2,5,2,5,5,2,2,5,Standard,Standard,149.0,-0.042,-0.243
FC,2023-10-04,89.6,-2.95,5.7,"Canha, Mark",592192,668678,,foul,,,,,14.0,Mark Canha lines out to center fielder Alek Thomas.,F,R,R,MIL,AZ,S,,,0,1,2023,0.59,0.6,0.91,1.74,,,467793.0,0,6,Bot,,,,,645444,,,8.296662050578856,-130.28698754660522,-5.0998853742702135,5.113746221237367,26.128696253105065,-24.458675128300847,3.16,1.47,154.0,67.8,61.0,90.1,2396.0,6.5,748578,668678,645444,572233,606466,446334,672695,666971,677950,682998,53.98,,,,,,,,47,2,Cutter,2,5,2,5,5,2,2,5,Standard,Standard,172.0,0.0,-0.064
KC,2023-10-04,81.8,-3.1,5.78,"Canha, Mark",592192,668678,,called_strike,,,,,7.0,Mark Canha lines out to center fielder Alek Thomas.,F,R,R,MIL,AZ,S,,,0,0,2023,0.28,-0.8,-0.38,1.52,,,467793.0,0,6,Bot,,,,,645444,,,5.600354820422769,-119.05654965986704,-1.4916104006929995,1.5975782377912633,23.10276594925116,-39.667380476617865,3.18,1.49,,,,81.7,2502.0,6.2,748578,668678,645444,572233,606466,446334,672695,666971,677950,682998,54.26,,,,,,,,47,1,Knuckle Curve,2,5,2,5,5,2,2,5,Standard,Standard,42.0,0.0,-0.054
FC,2023-10-04,89.4,-2.86,5.78,"Canha, Mark",592192,668678,single,hit_into_play,,,,,14.0,Mark Canha singles on a ground ball to right fielder Corbin Carroll.   Carlos Santana to 2nd.,F,R,R,MIL,AZ,X,9.0,ground_ball,1,1,2023,0.47,0.6,0.88,1.68,,,467793.0,1,3,Bot,157.83,142.0,,,645444,,,8.245955025599079,-129.9865646437258,-5.423407639501978,3.7851445855803263,24.444498743992263,-24.497461959084383,3.16,1.47,76.0,71.0,7.0,90.0,2417.0,6.5,748578,668678,645444,572233,606466,446334,672695,666971,677950,682998,54.02,0.263,0.271,0.9,1.0,1.0,0.0,2.0,23,3,Cutter,2,0,2,0,0,2,2,0,Standard,Standard,168.0,0.022,0.509
FC,2023-10-04,90.9,-2.95,5.74,"Canha, Mark",592192,668678,,ball,,,,,12.0,Mark Canha singles on a ground ball to right fielder Corbin Carroll.   Carlos Santana to 2nd.,F,R,R,MIL,AZ,B,,,0,1,2023,0.37,0.73,1.68,2.4,,,467793.0,1,3,Bot,,,,,645444,,,10.823929737084605,-132.0504863511794,-4.102548184758168,2.304517314301396,25.1173764182099,-22.86639049981296,3.1,1.49,,,,91.4,2372.0,6.5,748578,668678,645444,572233,606466,446334,672695,666971,677950,682998,54.03,,,,,,,,23,2,Cutter,2,0,2,0,0,2,2,0,Standard,Standard,182.0,0.0,0.03
FF,2023-10-04,95.3,-2.73,5.91,"Canha, Mark",592192,668678,,swinging_strike,,,,,2.0,Mark Canha singles on a ground ball to right fielder Corbin Carroll.   Carlos Santana to 2nd.,F,R,R,MIL,AZ,S,,,0,0,2023,-0.5,1.37,0.05,3.27,,,467793.0,1,3,Bot,,,,,645444,,,8.451732152578844,-138.53851107279266,-4.406459583324522,-8.272937613053548,29.09480516585316,-13.721844582832306,3.16,1.47,,,,95.8,2292.0,6.5,748578,668678,645444,572233,606466,446334,672695,666971,677950,682998,54.01,,,,,,,,23,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,210.0,0.0,-0.05
FF,2023-10-04,95.1,-2.98,5.85,"Canha, Mark",592192,668678,single,hit_into_play,,,,,7.0,Mark Canha singles on a line drive to left fielder Lourdes Gurriel Jr.  Christian Yelich to 3rd.    Carlos Santana to 2nd.,F,R,R,MIL,AZ,X,7.0,line_drive,2,2,2023,-0.69,1.34,-0.6,1.5,,592885.0,467793.0,1,1,Bot,71.08,116.99,,,672515,,,7.782692755861413,-138.10967057062473,-8.759530401696527,-10.488086764605573,29.819381971650945,-13.243506137725833,3.16,1.47,200.0,82.2,13.0,95.2,2261.0,6.4,748578,668678,672515,572233,606466,446334,672695,666971,677950,682998,54.1,0.72,0.659,0.9,1.0,1.0,0.0,4.0,8,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215.0,0.058,1.019
FF,2023-10-04,95.6,-2.78,5.83,"Canha, Mark",592192,668678,,foul,,,,,9.0,Mark Canha singles on a line drive to left fielder Lourdes Gurriel Jr.  Christian Yelich to 3rd.    Carlos Santana to 2nd.,F,R,R,MIL,AZ,S,,,2,2,2023,-0.61,1.29,0.3,1.68,,592885.0,467793.0,1,1,Bot,,,,,672515,,,9.49657607706355,-138.67073492798033,-8.185511065695268,-9.95913743993804,30.986032365788656,-13.841756615383783,3.16,1.47,196.0,71.9,55.0,95.7,2359.0,6.5,748578,668678,672515,572233,606466,446334,672695,666971,677950,682998,53.98,,,,,,,,8,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213.0,0.0,0.0
FF,2023-10-04,95.7,-2.81,5.84,"Canha, Mark",592192,668678,,foul,,,,,8.0,Mark Canha singles on a line drive to left fielder Lourdes Gurriel Jr.  Christian Yelich to 3rd.    Carlos Santana to 2nd.,F,R,R,MIL,AZ,S,,,2,2,2023,-0.41,1.42,0.13,1.84,,592885.0,467793.0,1,1,Bot,,,,,672515,,,8.704902719261614,-138.9209011608431,-8.127931983349509,-7.356723299856317,32.47454410215741,-12.133501508047235,3.16,1.47,206.0,70.6,35.0,95.7,2198.0,6.5,748578,668678,672515,572233,606466,446334,672695,666971,677950,682998,53.97,,,,,,,,8,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,0.0
FF,2023-10-04,95.8,-2.72,5.89,"Canha, Mark",592192,668678,,ball,,,,,13.0,Mark Canha singles on a line drive to left fielder Lourdes Gurriel Jr.  Christian Yelich to 3rd.    Carlos Santana to 2nd.,F,R,R,MIL,AZ,B,,,1,2,2023,-0.54,1.53,-0.44,1.23,,592885.0,467793.0,1,1,Bot,,,,,672515,,,7.244856726493459,-139.08677634633082,-10.138153605626846,-8.612590064810071,31.847637373583936,-10.200980314004934,3.1,1.49,,,,95.9,2253.0,6.5,748578,668678,672515,572233,606466,446334,672695,666971,677950,682998,54.01,,,,,,,,8,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,0.055
FF,2023-10-04,96.1,-2.61,5.87,"Canha, Mark",592192,668678,,ball,,,,,14.0,Mark Canha singles on a line drive to left fielder Lourdes Gurriel Jr.  Christian Yelich to 3rd.    Carlos Santana to 2nd.,F,R,R,MIL,AZ,B,,,0,2,2023,-0.19,1.43,1.47,2.19,,592885.0,467793.0,1,1,Bot,,,,,672515,,,11.28435010896978,-139.2959916851941,-7.378278048499581,-5.096745337724806,31.89095433767914,-12.024353810775787,3.13,1.46,,,,96.3,2223.0,6.6,748578,668678,672515,572233,606466,446334,672695,666971,677950,682998,53.87,,,,,,,,8,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,205.0,0.0,0.043
