pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FS,2023-09-01,90.2,-1.4,5.76,"Greene, Riley",682985,657053,single,hit_into_play,,,,,7.0,Riley Greene singles on a ground ball to right fielder Oscar Colas.   Parker Meadows scores.    Jake Rogers scores.,R,L,R,CWS,DET,X,9.0,ground_ball,2,2,2023,-0.91,0.33,-0.43,1.99,678009.0,668670.0,,2,5,Top,161.06,107.21,,,686676,,,4.441585752213963,-131.3653161527429,-4.276272447171863,-11.423129570953328,24.827806695506105,-27.655594013537293,3.69,1.77,14.0,104.9,-7.0,92.4,1601.0,7.3,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.18,0.391,0.367,0.9,1.0,1.0,0.0,2.0,36,5,Split-Finger,1,0,0,1,2,1,2,1,Standard,Standard,234.0,-0.247,1.618
CU,2023-09-01,77.2,-1.27,5.94,"Greene, Riley",682985,657053,,foul,,,,,8.0,Riley Greene singles on a ground ball to right fielder Oscar Colas.   Parker Meadows scores.    Jake Rogers scores.,R,L,R,CWS,DET,S,,,2,1,2023,1.16,-1.01,0.08,1.99,678009.0,668670.0,,2,5,Top,,,,,686676,,,0.7698001945380015,-112.47442228984026,0.4476643527634087,9.6808663408462,21.54557693351644,-41.02591990854975,3.69,1.77,5.0,64.3,-20.0,78.6,2487.0,7.3,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.19,,,,,,,,36,4,Curveball,1,0,0,1,0,1,0,1,Strategic,Standard,46.0,0.0,-0.171
FS,2023-09-01,88.6,-1.44,5.68,"Greene, Riley",682985,657053,,swinging_strike,,,,,14.0,Riley Greene singles on a ground ball to right fielder Oscar Colas.   Parker Meadows scores.    Jake Rogers scores.,R,L,R,CWS,DET,S,,,2,0,2023,-0.87,0.34,0.0,1.63,678009.0,668670.0,,2,5,Top,,,,,686676,,,5.442005866533767,-129.0013462065731,-4.689840486936425,-10.82459206228177,23.59844867190733,-27.67719079109415,3.69,1.77,,,,90.7,1673.0,7.3,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.24,,,,,,,,36,3,Split-Finger,1,0,0,1,0,1,0,1,Strategic,Standard,235.0,0.0,-0.103
CU,2023-09-01,75.9,-1.2,5.98,"Greene, Riley",682985,657053,,ball,,,,,13.0,Riley Greene singles on a ground ball to right fielder Oscar Colas.   Parker Meadows scores.    Jake Rogers scores.,R,L,R,CWS,DET,B,,,1,0,2023,1.27,-1.09,-1.38,2.32,678009.0,668670.0,,2,5,Top,,,,,686676,,,-2.707433330741031,-110.47221370634855,1.4637656995037138,10.899609046254842,21.085706529503423,-41.57893995949205,3.35,1.58,,,,76.9,2500.0,7.2,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.35,,,,,,,,36,2,Curveball,1,0,0,1,0,1,0,1,Strategic,Standard,43.0,0.0,0.074
CU,2023-09-01,77.7,-1.39,5.9,"Greene, Riley",682985,657053,,blocked_ball,,,,,14.0,Riley Greene singles on a ground ball to right fielder Oscar Colas.   Parker Meadows scores.    Jake Rogers scores.,R,L,R,CWS,DET,B,,,0,0,2023,1.11,-1.21,1.08,0.51,678009.0,668670.0,,2,5,Top,,,,,686676,,,3.3172820166589903,-113.10122491864531,-2.375901410529136,8.826722846643012,22.10594399641996,-42.309569563265335,3.33,1.58,,,,79.0,2472.0,7.4,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.15,,,,,,,,36,1,Curveball,1,0,0,1,0,1,0,1,Strategic,Standard,42.0,0.0,0.035
FS,2023-09-01,87.7,-1.51,5.61,"Greene, Riley",682985,657053,field_out,hit_into_play,,,,,8.0,Riley Greene flies out to right fielder Oscar Colas.,R,L,R,CWS,DET,X,9.0,fly_ball,0,0,2023,-0.95,0.46,-0.04,1.93,,,,1,3,Top,166.14,55.97,,,686676,,,5.596362977288208,-127.58294085990164,-3.786005992747061,-11.463213374954377,25.03569856727669,-26.542908603642665,3.69,1.77,366.0,94.3,30.0,89.1,1788.0,7.1,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.41,0.154,0.235,0.0,1.0,0.0,0.0,3.0,18,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,236.0,0.018,-0.169
FF,2023-09-01,93.4,-1.75,5.73,"Greene, Riley",682985,657053,single,hit_into_play,,,,,1.0,Riley Greene singles on a sharp line drive to right fielder Oscar Colas.,R,L,R,CWS,DET,X,9.0,line_drive,1,0,2023,-0.82,1.15,-0.59,3.24,,,,1,1,Top,199.01,95.28,,,686676,,,4.860606539557379,-135.94651248791936,-3.22545819878236,-11.215172151323452,29.8898096310314,-17.4436381570478,3.69,1.77,234.0,106.2,14.0,94.7,2238.0,7.0,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.48,0.749,0.791,0.9,1.0,1.0,0.0,5.0,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,224.0,-0.025,0.238
CU,2023-09-01,74.2,-1.36,6.06,"Greene, Riley",682985,657053,,ball,,,,,14.0,Riley Greene singles on a sharp line drive to right fielder Oscar Colas.,R,L,R,CWS,DET,B,,,0,0,2023,1.12,-1.03,0.56,1.23,,,,1,1,Top,,,,,686676,,,1.9870613429675963,-107.98541029848587,-0.7549513831360937,8.313792973712768,20.82100026702617,-40.27633229488088,3.35,1.51,,,,75.0,2397.0,7.1,716762,657053,686676,683734,672820,660162,641313,643217,673357,693049,53.38,,,,,,,,2,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,47.0,0.0,0.025
FC,2023-08-31,89.8,-1.56,5.42,"Greene, Riley",682985,657376,single,hit_into_play,,,,,6.0,Riley Greene singles on a line drive to right fielder Jake Bauers.   Carson Kelly scores.,R,L,R,DET,NYY,X,9.0,line_drive,2,2,2023,0.53,0.7,0.58,3.09,,608348.0,,1,5,Bot,190.07,125.07,,,543309,,,4.19316249434169,-130.88765193079584,-1.3578847902887852,5.349955198068439,24.31532865791844,-24.00024383459851,3.69,1.78,243.0,78.7,29.0,90.7,2710.0,6.5,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.02,0.171,0.168,0.9,1.0,1.0,0.0,3.0,37,5,Cutter,1,0,1,0,0,2,2,0,Standard,Standard,152.0,0.088,0.73
FC,2023-08-31,91.3,-1.58,5.42,"Greene, Riley",682985,657376,,ball,,,,,11.0,Riley Greene singles on a line drive to right fielder Jake Bauers.   Carson Kelly scores.,R,L,R,DET,NYY,B,,,1,2,2023,0.23,0.68,-0.16,3.89,,608348.0,,1,5,Bot,,,,,543309,,,3.079109888727491,-133.1807827088301,0.4615774955747458,2.2074593981049158,23.868032392681798,-24.23637321637613,3.6,1.78,,,,92.1,2649.0,6.3,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.23,,,,,,,,37,4,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,154.0,0.0,0.049
KC,2023-08-31,83.6,-1.25,5.69,"Greene, Riley",682985,657376,,foul,,,,,8.0,Riley Greene singles on a line drive to right fielder Jake Bauers.   Carson Kelly scores.,R,L,R,DET,NYY,S,,,1,1,2023,1.33,-0.54,-0.05,2.16,,608348.0,,1,5,Bot,,,,,543309,,,0.1530862069743627,-121.70129282718467,-0.6154684321475746,13.140454360242828,25.39842191000208,-37.64787740413406,3.69,1.78,3.0,77.1,-33.0,83.3,2875.0,6.2,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.27,,,,,,,,37,3,Knuckle Curve,1,0,1,0,0,1,1,0,Standard,Standard,40.0,0.0,-0.096
KC,2023-08-31,83.9,-1.41,5.64,"Greene, Riley",682985,657376,,ball,,,,,13.0,Riley Greene singles on a line drive to right fielder Jake Bauers.   Carson Kelly scores.,R,L,R,DET,NYY,B,,,0,1,2023,1.34,-0.4,-0.51,1.61,,608348.0,,1,5,Bot,,,,,543309,,,-0.5800804555556944,-122.186784708325,-2.1460298571938474,13.514240627086634,23.951119934309443,-35.98712033057562,3.58,1.78,,,,83.9,2957.0,6.2,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.26,,,,,,,,37,2,Knuckle Curve,1,0,1,0,0,1,1,0,Standard,Standard,50.0,0.0,0.03
ST,2023-08-31,85.5,-2.17,5.17,"Greene, Riley",682985,657376,,called_strike,,,,,13.0,Riley Greene singles on a line drive to right fielder Jake Bauers.   Carson Kelly scores.,R,L,R,DET,NYY,S,,,0,0,2023,0.47,0.62,-0.9,2.39,,608348.0,,1,5,Bot,,,,,543309,,,2.04822489849222,-124.57719669489094,-1.5609366337039874,4.571085425385378,23.45699849910259,-25.62525896445304,3.65,1.8,,,,85.9,2822.0,6.4,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.15,,,,,,,,37,1,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,91.0,0.0,-0.047
FC,2023-08-31,92.5,-1.62,5.42,"Greene, Riley",682985,657376,grounded_into_double_play,hit_into_play,,,,,6.0,"Riley Greene grounds into a double play, first baseman DJ LeMahieu to shortstop Anthony Volpe to pitcher Clarke Schmidt.   Zach McKinstry out at 2nd.    Riley Greene out at 1st.",R,L,R,DET,NYY,X,3.0,ground_ball,2,0,2023,0.02,0.94,0.76,2.59,,,656716.0,0,3,Bot,147.36,171.06,,,543309,,,6.030304856205298,-134.71133315894687,-3.527330684427972,-0.8348502527725581,25.235893221484897,-20.142589399870047,3.69,1.78,7.0,61.7,-19.0,93.1,2632.0,6.3,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.18,0.026,0.023,0.0,1.0,0.0,0.0,2.0,22,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,191.0,-0.082,-0.652
FC,2023-08-31,90.8,-1.69,5.36,"Greene, Riley",682985,657376,,ball,,,,,14.0,"Riley Greene grounds into a double play, first baseman DJ LeMahieu to shortstop Anthony Volpe to pitcher Clarke Schmidt.   Zach McKinstry out at 2nd.    Riley Greene out at 1st.",R,L,R,DET,NYY,B,,,1,0,2023,0.24,0.59,1.51,2.48,,,656716.0,0,3,Bot,,,,,543309,,,7.500429858319306,-132.1876002649786,-2.66171721546972,1.5375494096890785,23.662553328382025,-24.88193261936225,3.65,1.78,,,,91.7,2705.0,6.5,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.05,,,,,,,,22,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,162.0,0.0,0.082
KC,2023-08-31,83.0,-1.32,5.6,"Greene, Riley",682985,657376,,ball,,,,,14.0,"Riley Greene grounds into a double play, first baseman DJ LeMahieu to shortstop Anthony Volpe to pitcher Clarke Schmidt.   Zach McKinstry out at 2nd.    Riley Greene out at 1st.",R,L,R,DET,NYY,B,,,0,0,2023,1.27,-0.54,0.05,1.15,,,656716.0,0,3,Bot,,,,,543309,,,0.6343619117161375,-120.75993911673508,-2.5665468283783266,12.125351744543732,26.605254951883005,-37.05509547963036,3.6,1.74,,,,82.2,3014.0,6.1,716775,657376,543309,518934,650402,665828,683011,677592,643396,641343,54.42,,,,,,,,22,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,44.0,0.0,0.045
SL,2023-08-31,89.2,-1.47,5.48,"Greene, Riley",682985,656061,strikeout,swinging_strike,,,,,14.0,Riley Greene strikes out swinging.,R,L,R,DET,NYY,S,2.0,,2,2,2023,0.06,0.27,0.59,1.11,678009.0,670097.0,608348.0,2,8,Bot,,,,,543309,,,4.962514683841587,-129.8514387345445,-5.351560451492581,-0.2360411716846681,25.50682780840626,-28.19370292232528,3.69,1.78,,,,89.9,2107.0,6.6,716775,656061,543309,518934,650402,672724,683011,677592,643396,665828,53.94,,,0.0,1.0,0.0,0.0,,64,6,Slider,3,0,3,0,0,3,3,0,Standard,Standard,191.0,-0.008,-0.642
SL,2023-08-31,89.9,-1.56,5.48,"Greene, Riley",682985,656061,,ball,,,,,14.0,Riley Greene strikes out swinging.,R,L,R,DET,NYY,B,,,1,2,2023,0.11,0.37,0.05,0.9,678009.0,670097.0,608348.0,2,8,Bot,,,,,543309,,,3.762146576450095,-130.91174962043965,-6.216462374180541,0.5106973760823705,25.53527794852739,-26.921236971901703,3.51,1.76,,,,90.4,2139.0,6.4,716775,656061,543309,518934,650402,672724,683011,677592,643396,665828,54.14,,,,,,,,64,5,Slider,3,0,3,0,0,3,3,0,Standard,Standard,202.0,0.0,0.149
