pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-03-25,92.0,-1.83,5.96,"Keith, Colt",690993,691828,field_out,hit_into_play,,,,,5.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,X,3.0,ground_ball,2,0,2023,-0.76,1.32,-0.07,2.25,,,,0,4,Top,156.1,158.14,,,643376,,,6.155535544470103,-133.88860701696711,-6.534559117548261,-10.464378899514172,26.554061963281693,-15.053952286032796,3.49,1.6,52.0,102.3,0.0,93.0,2353.0,6.7,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,53.8,0.471,0.433,0.0,,0.0,0.0,4.0,23,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,215.0,0.008,
CH,2023-03-25,87.7,-1.76,5.96,"Keith, Colt",690993,691828,,ball,,,,,14.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,B,,,1,0,2023,-1.05,0.58,0.15,1.3,,,,0,4,Top,,,,,643376,,,6.804778828590391,-127.48761463928406,-6.387482379583005,-12.858108159883232,25.186287960066338,-24.68624224649749,3.49,1.6,,,,88.2,1920.0,6.5,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,53.96,,,,,,,,23,2,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,228.0,0.0,
SL,2023-03-25,85.1,-1.95,5.94,"Keith, Colt",690993,691828,,ball,,,,,13.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,B,,,0,0,2023,0.15,0.33,-0.31,0.83,,,,0,4,Top,,,,,643376,,,3.585441233130888,-123.62357421825148,-6.225020858175363,0.6368537992618808,29.57211146125154,-27.569521621176264,3.49,1.6,,,,85.1,2531.0,6.9,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,53.64,,,,,,,,23,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,83.0,0.0,
FF,2023-03-25,94.2,-1.75,6.03,"Keith, Colt",690993,691828,field_out,hit_into_play,,,,,9.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,X,3.0,ground_ball,2,2,2023,-0.98,1.39,0.36,1.83,,,,1,2,Top,163.2,162.71,,,643376,,,7.685162061980526,-136.85719625364496,-8.371421729821064,-13.943419153079082,27.74463781373622,-13.043376506838374,3.49,1.6,110.0,103.8,5.0,94.9,2353.0,6.6,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,53.88,0.617,0.581,0.0,,0.0,0.0,4.0,8,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,157.0,0.017,
CH,2023-03-25,89.5,-1.79,5.96,"Keith, Colt",690993,691828,,ball,,,,,14.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,B,,,1,2,2023,-1.23,0.54,0.26,0.17,,,,1,2,Top,,,,,643376,,,7.664394775013252,-130.03617970987528,-9.525481188668977,-15.508853891156782,22.52258420140146,-24.46444879911403,3.49,1.6,,,,90.4,2135.0,6.5,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,53.97,,,,,,,,8,4,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,241.0,0.0,
CH,2023-03-25,90.0,-1.92,5.99,"Keith, Colt",690993,691828,,swinging_strike,,,,,13.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,S,,,1,1,2023,-1.11,0.32,-0.53,1.39,,,,1,2,Top,,,,,643376,,,5.838374054798403,-130.9727414366581,-6.232016306136903,-13.992960180717438,24.88606111461396,-27.44970315467328,3.49,1.6,,,,91.0,2020.0,6.7,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,53.84,,,,,,,,8,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,290.0,0.0,
FF,2023-03-25,92.5,-1.77,5.97,"Keith, Colt",690993,691828,,called_strike,,,,,14.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,S,,,1,0,2023,-0.92,1.15,0.2,1.47,,,,1,2,Top,,,,,643376,,,7.048755800818424,-134.34959510821164,-8.225068277578558,-12.672444770185765,28.047387885303287,-16.590717627774946,3.49,1.6,,,,93.0,2317.0,6.6,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,53.89,,,,,,,,8,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,226.0,0.0,
FF,2023-03-25,92.6,-1.82,6.02,"Keith, Colt",690993,691828,,ball,,,,,13.0,Colt Keith grounds out to first baseman Cavan Biggio.,S,L,R,TOR,DET,B,,,0,0,2023,-0.85,1.17,-1.28,1.97,,,,1,2,Top,,,,,643376,,,3.2523750276235712,-134.75297869516496,-7.119102556987777,-11.127358104718072,28.12607634743698,-16.619399166355443,3.49,1.6,,,,93.0,2323.0,6.5,718961,691828,643376,624415,669289,656305,666182,593160,662139,543807,54.05,,,,,,,,8,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.0,
FF,2023-03-25,84.0,-4.47,2.09,"Keith, Colt",690993,643256,walk,ball,,,,,12.0,Colt Keith walks.,S,L,R,TOR,DET,B,,,3,1,2023,-1.11,0.51,0.21,4.25,,,,1,6,Top,,,,,643376,,,12.991624206056064,-121.20569594820138,10.503931342249013,-13.404918095946243,22.889770109490915,-29.66352401743115,3.49,1.6,,,,83.7,2061.0,6.5,718961,643256,643376,624415,669289,656305,666182,593160,662139,543807,54.0,,,0.7,,0.0,0.0,,41,5,4-Seam Fastball,0,4,4,0,4,0,4,0,,,286.0,-0.007,
FF,2023-03-25,84.2,-4.51,2.12,"Keith, Colt",690993,643256,,ball,,,,,3.0,Colt Keith walks.,S,L,R,TOR,DET,B,,,2,1,2023,-1.11,0.59,0.36,3.39,,,,1,6,Top,,,,,643376,,,13.475079860474308,-121.73359312243257,8.218629494182185,-13.391380831230418,20.56714620107688,-28.1168333872986,3.49,1.6,,,,84.6,2062.0,6.6,718961,643256,643376,624415,669289,656305,666182,593160,662139,543807,53.89,,,,,,,,41,4,4-Seam Fastball,0,4,4,0,4,0,4,0,,,283.0,0.0,
