pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-10-31,93.2,-2.46,5.22,"Dunning, Dane",666971,641540,grounded_into_double_play,hit_into_play,,,,,14.0,"Lourdes Gurriel Jr.  grounds into a double play, shortstop Corey Seager to second baseman Marcus Semien to first baseman Nathaniel Lowe.   Tommy Pham out at 2nd.    Lourdes Gurriel Jr.  out at 1st.",W,R,R,AZ,TEX,X,6.0,ground_ball,1,1,2023,-0.92,0.51,0.29,1.22,,572233.0,502054.0,1,6,Bot,115.87,145.7,,,641680,,,9.17146595917057,-135.3110044684278,-5.661712613163731,-13.29167176377541,30.0550862697714,-24.760069260056085,3.6,1.71,7.0,94.9,-9.0,93.8,1909.0,6.8,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,53.67,0.223,0.206,0.0,1.0,0.0,0.0,2.0,54,3,Sinker,1,10,1,10,10,1,1,10,Infield shade,Standard,227.0,-0.005,-0.613
SI,2023-10-31,92.8,-2.49,5.23,"Dunning, Dane",666971,641540,,ball,,,,,9.0,"Lourdes Gurriel Jr.  grounds into a double play, shortstop Corey Seager to second baseman Marcus Semien to first baseman Nathaniel Lowe.   Tommy Pham out at 2nd.    Lourdes Gurriel Jr.  out at 1st.",W,R,R,AZ,TEX,B,,,0,1,2023,-0.77,0.47,0.7,1.87,,572233.0,502054.0,1,6,Bot,,,,,641680,,,9.906731214688223,-134.74450497074156,-3.808884160787585,-11.499102044266342,29.47568867068944,-25.843510149589097,3.55,1.65,,,,93.4,1913.0,6.8,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,53.71,,,,,,,,54,2,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,224.0,0.0,0.061
FC,2023-10-31,89.1,-2.45,5.2,"Dunning, Dane",666971,641540,,called_strike,,,,,9.0,"Lourdes Gurriel Jr.  grounds into a double play, shortstop Corey Seager to second baseman Marcus Semien to first baseman Nathaniel Lowe.   Tommy Pham out at 2nd.    Lourdes Gurriel Jr.  out at 1st.",W,R,R,AZ,TEX,S,,,0,0,2023,0.29,0.43,0.34,1.96,,572233.0,502054.0,1,6,Bot,,,,,641680,,,6.275093062022182,-129.70796504319202,-2.923364981968006,2.170681814248771,24.42204607248036,-26.95659149522429,3.55,1.62,,,,90.3,2111.0,6.8,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,53.75,,,,,,,,54,1,Cutter,1,10,1,10,10,1,1,10,Standard,Standard,199.0,0.0,-0.078
SI,2023-10-31,91.9,-2.52,5.09,"Dunning, Dane",502054,641540,single,hit_into_play,,,,,5.0,Tommy Pham singles on a soft ground ball to third baseman Josh Jung.   Christian Walker to 2nd.,W,R,R,AZ,TEX,X,5.0,ground_ball,0,0,2023,-0.99,0.49,0.27,2.35,,,572233.0,1,6,Bot,111.81,179.16,,,641680,,,9.309200928333969,-133.60524859187947,-2.1672586005638403,-13.880029167978211,28.62352184234109,-25.98284399308384,3.51,1.65,1.0,76.1,-71.0,92.6,2057.0,6.8,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,53.74,0.297,0.291,0.9,1.0,1.0,0.0,2.0,53,1,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,222.0,0.003,0.489
SL,2023-10-31,83.2,-2.5,5.28,"Dunning, Dane",572233,641540,single,hit_into_play,,,,,14.0,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,X,9.0,fly_ball,3,2,2023,0.23,-0.09,0.85,1.86,,,,1,6,Bot,161.99,114.77,,,641680,,,7.279409437565287,-121.11508395945393,-1.268472176950182,0.937679451362338,22.21089949614159,-33.003315608236875,3.42,1.59,229.0,71.3,32.0,83.7,2314.0,6.5,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,54.01,0.606,0.556,0.9,1.0,1.0,0.0,4.0,52,6,Slider,1,10,1,10,10,1,1,10,Standard,Standard,40.0,0.001,0.225
SI,2023-10-31,93.0,-2.37,5.23,"Dunning, Dane",572233,641540,,ball,,,,,14.0,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,B,,,2,2,2023,-0.92,0.39,1.24,1.61,,,,1,6,Bot,,,,,641680,,,11.339750078545922,-135.0247555421755,-4.386852055682729,-13.656861988424886,29.26379166283351,-26.61289997122332,3.52,1.65,,,,93.6,2066.0,6.8,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,53.72,,,,,,,,52,5,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,218.0,0.0,0.059
SL,2023-10-31,83.0,-2.46,5.29,"Dunning, Dane",572233,641540,,swinging_strike,,,,,14.0,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,S,,,2,1,2023,0.25,-0.07,1.97,1.88,,,,1,6,Bot,,,,,641680,,,9.665502922994367,-120.51570311189766,-1.1765487797337335,0.5443228013720769,23.08098158811288,-32.87427327270781,3.42,1.59,,,,83.1,2412.0,6.4,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,54.08,,,,,,,,52,4,Slider,1,10,1,10,10,1,1,10,Standard,Standard,40.0,0.0,-0.048
SI,2023-10-31,93.1,-2.43,5.3,"Dunning, Dane",572233,641540,,ball,,,,,12.0,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,B,,,1,1,2023,-0.87,0.66,1.84,2.75,,,,1,6,Bot,,,,,641680,,,12.967969026227456,-134.88566020863615,-2.1644750043082404,-13.545067999689657,31.23759431220148,-23.81800073411983,3.48,1.61,,,,93.5,2119.0,6.9,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,53.61,,,,,,,,52,3,Sinker,1,10,1,10,10,1,1,10,Standard,Standard,222.0,0.0,0.034
SL,2023-10-31,83.7,-2.5,5.31,"Dunning, Dane",572233,641540,,ball,,,,,14.0,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,B,,,0,1,2023,0.25,-0.39,1.7,0.42,,,,1,6,Bot,,,,,641680,,,9.206851195971334,-121.60413485785428,-4.104512858767138,0.7204086085103684,22.731068115095784,-35.45400612872531,3.54,1.57,,,,84.0,2344.0,6.5,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,54.03,,,,,,,,52,2,Slider,1,10,1,10,10,1,1,10,Standard,Standard,32.0,0.0,0.019
SL,2023-10-31,83.0,-2.48,5.34,"Dunning, Dane",572233,641540,,foul,,,,,5.0,Christian Walker singles on a fly ball to right fielder Travis Jankowski.,W,R,R,AZ,TEX,S,,,0,0,2023,0.22,-0.04,0.16,2.17,,,,1,6,Bot,,,,,641680,,,5.642070107918502,-120.9056877912135,-0.7807487911128692,1.1683158828719284,21.336124989522887,-32.664669005812904,3.42,1.59,2.0,68.8,-49.0,83.7,2316.0,6.5,748535,641540,641680,663993,543760,673962,608369,694497,665750,608671,54.02,,,,,,,,52,1,Slider,1,10,1,10,10,1,1,10,Standard,Standard,45.0,0.0,-0.026
